fecha,rollbit-coin_price,rollbit-coin_market_cap,rollbit-coin_volume,kaspa_price,kaspa_market_cap,kaspa_volume,injective-protocol_price,injective-protocol_market_cap,injective-protocol_volume,bitget-token_price,bitget-token_market_cap,bitget-token_volume,render-token_price,render-token_market_cap,render-token_volume,okb_price,okb_market_cap,okb_volume,xdce-crowd-sale_price,xdce-crowd-sale_market_cap,xdce-crowd-sale_volume,ripple_price,ripple_market_cap,ripple_volume,bitcoin_price,bitcoin_market_cap,bitcoin_volume,litecoin_price_x,litecoin_market_cap_x,litecoin_volume_x
2023-02-27,0.04128562639418078,0.0,184626.09056625777,0.009049758768668951,153184804.66228876,2213244.8001983427,3.7737822969030717,294724504.33060133,40494408.857023686,0.41304195859794524,577894131.8580513,13604658.9040947,1.5322936214597835,461352259.9414172,49822656.569358274,53.08572506826141,13084493847.566362,45996481.791705176,0.02612220877129888,361035413.11380094,2322235.482272104,0.37800947130170354,19267086787.79969,540159353.6332139,23541.115854493557,454284528651.50226,24469102669.371048,95.17205213506092,6890752614.695298,401183564.0874107
2023-02-28,0.03709824927382735,0.0,2207155.450960685,0.010693137869547242,180473671.008002,3156983.844430263,3.6504534092363348,285248048.3278142,38664924.339705326,0.42306286169049323,592266782.2357059,15354048.199884398,1.4759477519512771,442974889.45231545,55987335.94806384,52.04416182670983,12846717087.681381,42879091.410849206,0.026092110375120287,361157631.9142237,2174100.5694665685,0.3793366092044523,19332749632.951515,1153758555.8774142,23518.12390627588,454364917718.867,28832423816.478718,94.03570721690785,6809480415.707405,438749637.9849197
2023-03-01,0.025774511112035936,0.0,3141777.1924069505,0.011410085419353854,191917212.13491425,3715284.8807491167,3.526294554047469,274293991.8559777,25875961.728465125,0.419070276159693,585798181.9642518,10178541.252153648,1.4578658921955514,437298971.626728,83019970.8901913,51.61734412042099,12713148327.468908,62761008.571749605,0.0262189416462366,362585830.089322,2346547.7499953955,0.37840780894045833,19254765044.415302,1097670874.0984151,23155.543746825795,446010055987.85736,25534054046.06684,93.73046914547756,6771528857.874855,426852107.5478518
2023-03-02,0.02863384851184019,0.0,2573046.0470443023,0.013157928908260117,223565503.594322,3790597.3816417786,3.7823271613269944,294446476.2973521,25319822.00788378,0.4298078410005549,603766845.5309919,15616468.030953038,1.5549748857937156,465332716.19319904,58127879.13656079,51.31493403779042,12643012360.939768,60156926.21408662,0.028012807257014834,387172745.7389425,3196017.574965841,0.3842122173302225,19594492700.912342,1016609362.857389,23634.333489123786,456417315966.7193,32507897259.084335,97.7762737272192,7080227569.888726,558455261.57109
2023-03-03,0.026080803604420815,85964788.619457,2846173.0501490114,0.01429615307399565,242877339.25165495,4435385.793947213,3.7380157710343256,291457468.5132966,22611011.69778363,0.43093840338611983,604962372.3218421,14913759.07662477,1.524872804986497,456129369.5950866,49677686.035902776,50.89560075998804,12553307922.766808,53057016.31073769,0.028927735845097377,400334465.5548366,3891953.943680044,0.37782759167537316,19261288580.63014,909585578.1475348,23464.33654185282,453067155320.8529,27432755758.440197,95.277902693291,6897806522.383258,497328067.8448676
2023-03-04,0.03203413853963781,105603788.44743295,2997968.8002370866,0.012363621209357403,209731422.7719663,3542598.3380029025,3.5989201824733152,280936684.38334095,35213924.62573749,0.4025553187378604,562756663.5533,16540022.24795706,1.3599134083689255,407876831.4853293,65384395.085439086,49.5377742714152,12227261429.969093,53670742.300338335,0.02951279003703297,407515148.7918752,3592726.5525475238,0.3797725783925803,19357672478.1105,1366537887.0953143,22367.43302246967,431727585101.1504,34239649135.070206,90.57634954152962,6556118053.165364,700671966.7408128
2023-03-05,0.030899342590058675,102382347.89169614,1787996.9814135793,0.012455713122376736,212353002.7165802,3187059.4074892113,3.259912710538052,253850231.73308757,29907089.557950333,0.40835005828807447,571009432.9103464,9214311.350852052,1.2389173482383042,371074209.7949345,68182976.44472243,49.491590283308746,12201913988.625412,39801033.07284872,0.029813657765174365,412265246.28646225,3706684.3966911295,0.375482520911302,19125093149.858818,593218721.5744294,22348.32991538815,431837491811.49384,13392431931.930376,89.2920078043364,6460522635.509425,356142562.6462949
2023-03-06,0.037891217961900446,124704303.41182344,2652717.6096834093,0.012597078786361954,215219542.15971044,2820952.4655798706,3.354206862034898,260341839.2723825,24629970.697844632,0.3995393867487053,559487987.8797808,11445778.293573687,1.1972229101321046,356748432.7699022,37009880.445419654,49.95030607939861,12315566610.267971,38796193.11911435,0.030014498412526288,413361890.5298573,2679098.3614169075,0.368702052339315,18772296579.304646,531679793.84649,22421.885805853268,433081135066.3954,16080097920.160833,89.98197629869014,6508076597.221751,339580674.0939494
2023-03-07,0.034535403299756656,113809860.54771505,1144852.515938389,0.01394799304877432,236953736.84977266,3387696.525861208,3.31727419064814,259127316.00954297,24939424.29990299,0.4001720029556257,561389424.0649048,10755599.24247669,1.2099829688400563,433644921.540804,35804670.760685116,48.18889322154981,11881899628.91781,46898782.92337171,0.02906964464289464,401505332.2298296,3209530.1845976906,0.370949886784883,18870930797.407375,1262642327.1752026,22415.113659694827,432758824798.3097,21124920006.057713,87.41085201395951,6326379895.454934,509655232.42937326
2023-03-08,0.03014768814446595,99176630.69425885,2640774.765831355,0.012881264070101888,219785271.32679203,3464416.4672092274,3.179082499035414,247394588.2723576,25528264.022319898,0.38314127214148913,534739337.7816869,9745089.87975572,1.1814712984293168,423277117.5742354,48764834.20532973,43.93029882352232,10750416036.753948,70521113.45663583,0.029415247870120367,405247522.79143405,2937433.105213742,0.38091941771155435,19403006996.615963,1602133801.9946294,22217.209884905325,427994888566.54205,27780357943.162678,86.36179736748228,6240122255.010752,554658678.6936619
2023-03-09,0.030762881953906928,101335084.1163523,1735590.2463106476,0.011709487381091123,196493781.14738902,3001440.9952628,2.87278980604762,224986109.209569,22420126.00529539,0.37472847200276943,525231826.6751193,10996027.0742971,1.0717908088870751,385645905.6738485,44731841.74324182,42.851401318928886,10596785793.230974,85250348.23329623,0.027847094982030876,387763925.8749431,2465958.594234693,0.3895455769251921,19902227509.41309,2057330076.4400785,21712.65119391273,419694984165.3824,28493032424.783108,82.83407972046909,6016699008.503209,517823112.5581758
2023-03-10,0.033332054034455084,109327670.92467093,2348449.0769884884,0.010524997532078346,174976634.52278024,2796171.727363759,2.6414704704385956,205674085.08692604,31815815.0836807,0.3304071467870966,481958882.8475597,19556758.234787133,1.0260682053081533,368797352.256589,56647719.06937375,40.643693723680606,2434377211.3881817,62798743.30528137,0.02735651663571716,377479148.24866587,1764503.2040210306,0.373153463761464,19038584759.28343,1880109254.4076498,20376.320007428807,392841773384.4403,40173833477.660774,76.70611602901657,5546208841.346763,728020192.6077805
2023-03-11,0.03136881241608703,103696069.5488354,1685044.3312586811,0.011804881341007066,202500112.02719754,3290924.4762967876,3.030934824658701,236800106.47530606,60587068.67986477,0.33476218079241676,467605049.160029,18635679.45368976,1.0582949181695893,383275352.2591644,72273237.39865448,40.318342954619446,2418567648.792516,68809784.30182864,0.02755479643565822,373677821.75229055,1648492.3938589706,0.3719842680149645,18960880522.27624,1600399582.4666307,20195.2289502733,390202255053.33545,51593890225.48742,71.76192546418098,5206902438.768539,1111620949.4712052
2023-03-12,0.03053640021499785,100450807.33963132,2270676.472772922,0.01216262345200328,209287461.27723762,3079916.688026212,3.112695669431512,242297568.07973808,59549384.39748192,0.32961192809920953,461556412.0656296,6798283.528889293,0.97990456024795,353433522.942888,51849990.6567025,40.36492247624654,2422645969.2122736,65764158.35943529,0.02842018703240932,393316465.9130756,2132913.915209315,0.3660374912479876,18618245861.40169,1134168277.5788836,20521.55615175117,394742728281.98926,37746654239.61721,69.29409126312531,4997759498.555117,1157152710.665337
2023-03-13,0.03470308374663986,114360432.74068384,913783.3811479256,0.012122596114499359,208902305.77551925,2797086.4416615604,3.7415341609359425,285903544.4625129,35010069.377922334,0.35945218258806305,504434146.9447253,7169120.257887072,1.253607576327902,450738944.11012334,72641641.80059819,42.76286097851868,2526075502.8460913,53374932.44283556,0.029480143708178898,406721244.02142584,1949962.6693398634,0.3724698526505245,18910866411.013874,1204499052.1002083,22095.71339833569,425816781283.92786,36639901908.82403,76.09166315757737,5498982353.009049,861329606.3892223
